year,team,role,coach
1960,chiefs,Defensive Backs Coach,Tom Catlin
1960,chiefs,Defensive Backs Coach,Ed Hughes
1960,chiefs,Head Coach,Hank Stram
1960,chiefs,Offensive Line Coach,Bill Walsh
1961,chiefs,Defensive Backs Coach,Tom Catlin
1961,chiefs,Defensive Backs Coach,Ed Hughes
1961,chiefs,Head Coach,Hank Stram
1961,chiefs,Offensive Line Coach,Bill Walsh
1962,chiefs,Defensive Backs Coach,Tom Catlin
1962,chiefs,Offensive Ends Coach,Bob Ghilotti
1962,chiefs,Defensive Backs Coach,Ed Hughes
1962,chiefs,Head Coach,Hank Stram
1962,chiefs,Offensive Line Coach,Bill Walsh
1963,chiefs,Offensive Ends Coach,Bob Ghilotti
1963,chiefs,Defensive Backs Coach,Tom Catlin
1963,chiefs,Defensive Line Coach,Tom Pratt
1963,chiefs,Head Coach,Hank Stram
1963,chiefs,Offensive Line Coach,Bill Walsh
1964,chiefs,Offensive Ends Coach,Darrel Brewster
1964,chiefs,Defensive Backs Coach,Tom Catlin
1964,chiefs,Defensive Line Coach,Tom Pratt
1964,chiefs,Head Coach,Hank Stram
1964,chiefs,Offensive Line Coach,Bill Walsh
1965,chiefs,Offensive Ends Coach,Darrel Brewster
1965,chiefs,Defensive Backs Coach,Tom Catlin
1965,chiefs,Defensive Line Coach,Tom Pratt
1965,chiefs,Head Coach,Hank Stram
1965,chiefs,Offensive Line Coach,Bill Walsh
1966,chiefs,Assistant Coach,Morton J. Chuck Mills
1966,chiefs,Assistant Coach,Tommy O'Boyle
1966,chiefs,Offensive Ends Coach,Darrel Brewster
1966,chiefs,Defensive Backs Coach,Tom Bettis
1966,chiefs,Defensive Line Coach,Tom Pratt
1966,chiefs,Head Coach,Hank Stram
1966,chiefs,Offensive Line Coach,Bill Walsh
1967,chiefs,Assistant Coach,Tommy O'Boyle
1967,chiefs,Offensive Ends Coach,Darrel Brewster
1967,chiefs,Defensive Backs Coach,Tom Bettis
1967,chiefs,Defensive Line Coach,Tom Pratt
1967,chiefs,Head Coach,Hank Stram
1967,chiefs,Offensive Line Coach,Bill Walsh
1968,chiefs,Assistant Coach,Tommy O'Boyle
1968,chiefs,Offensive Backfield Coach,John Beake
1968,chiefs,Offensive Ends Coach,Darrel Brewster
1968,chiefs,Defensive Backs Coach,Tom Bettis
1968,chiefs,Defensive Line Coach,Tom Pratt
1968,chiefs,Head Coach,Hank Stram
1968,chiefs,Offensive Line Coach,Bill Walsh
1968,chiefs,Strength & Conditioning Coach,Alvin Roy
1969,chiefs,Assistant Coach,Tommy O'Boyle
1969,chiefs,Offensive Backfield Coach,John Beake
1969,chiefs,Offensive Ends Coach,Darrel Brewster
1969,chiefs,Defensive Backs Coach,Tom Bettis
1969,chiefs,Defensive Line Coach,Tom Pratt
1969,chiefs,Head Coach,Hank Stram
1969,chiefs,Offensive Line Coach,Bill Walsh
1969,chiefs,Strength & Conditioning Coach,Alvin Roy
1970,chiefs,Assistant Coach,Tommy O'Boyle
1970,chiefs,Offensive Backfield Coach,John Beake
1970,chiefs,Offensive Ends Coach,Darrel Brewster
1970,chiefs,Defensive Backs Coach,Tom Bettis
1970,chiefs,Defensive Line Coach,Tom Pratt
1970,chiefs,Head Coach,Hank Stram
1970,chiefs,Offensive Line Coach,Bill Walsh
1970,chiefs,Strength & Conditioning Coach,Alvin Roy
1971,chiefs,Assistant Coach,Tommy O'Boyle
1971,chiefs,Linebackers Coach,Walt Corey
1971,chiefs,Offensive Backfield Coach,John Beake
1971,chiefs,Offensive Ends Coach,Darrel Brewster
