otc_id,nfl_player_id,esbid,gsis_id,gsis_it_id,pff_id
1,2501863,,00-0010346,23446,327
2,2495202,,00-0027940,37075,6154
3,746,,00-0026152,33093,4326
4,2499489,,00-0000585,24518,442
5,2535529,BRE611741,00-0028946,38897,7301
6,206,CAL102494,00-0026237,33178,4411
7,2503158,STO309337,00-0015754,24616,498
8,2533436,OSW479182,00-0029682,38587,7059
9,2530510,,00-0028224,37724,6457
10,,KUP330993,00-0024375,30976,3106
11,,,00-0026705,34924,5334
12,,,00-0022019,28200,1471
13,2532961,,00-0029577,38718,7177
14,497284,DEC487021,00-0027690,35526,5611
15,2533026,,00-0029586,38566,7040
16,80656,KRU476709,00-0027033,34508,4980
17,497328,,00-0027874,35461,5547
18,2495748,STA482517,00-0025430,32236,3659
19,,,00-0028892,38836,7267
20,,WAL786621,00-0027683,35519,5604
21,,,00-0026209,33150,4383
22,324,TAM511848,00-0026267,33208,4441
23,,,00-0028185,37322,6399
24,4277,MAY781637,00-0026340,33281,4514
25,2506531,DRE129201,00-0023630,30025,2415
26,2495353,THO265401,00-0028067,37204,6281
27,,,00-0028276,37776,6501
28,79619,MOR120768,00-0026988,34463,4935
29,2532873,,00-0029568,38667,7647
30,,,00-0025504,32310,3733
31,,,00-0030452,40173,8008
32,2506677,,00-0023853,31446,3471
33,2505708,ADA515576,00-0022247,29236,1972
34,2495175,IRV733129,00-0028005,37142,6219
35,2532796,BOL253786,00-0029563,38631,7101
36,2495151,FRA507545,00-0027984,37121,6198
37,,,00-0029609,38638,7108
38,2505224,,00-0021381,27135,1013
39,2495135,CAR716706,00-0028046,37183,6260
40,2495503,MOO585401,00-0027983,37120,6197
41,71193,AYE577722,00-0026994,34469,4941
42,2533437,HIL737842,00-0029683,38597,7069
43,2495486,SIL461116,00-0028256,37756,6483
44,2535514,JOH674515,00-0028943,38894,7298
45,497218,HOL241722,00-0027606,35636,5720
46,2495288,GRE378950,00-0028142,37279,6356
47,2354,WOO711929,00-0025828,33341,4583
48,2505674,MCG001995,00-0022178,28059,1339
49,496980,BEA117665,00-0027658,35484,5570
50,2532876,JEN124150,00-0029654,38560,7034
51,2507010,BRO114525,00-0024495,31609,2945
52,2495487,,00-0027945,37080,6159
53,71211,BOO259235,00-0026762,34986,5372
54,2506017,,00-0022824,29141,1906
55,497172,DIX077953,00-0027772,35612,5696
56,,,00-0019548,25543,707
57,2495314,MIL152896,00-0028149,37286,6363
58,79651,,00-0026758,34981,5370
59,2533452,JOH088779,00-0029310,38767,7221
60,2506348,ROG136198,00-0023444,29833,2226
61,2495142,CUL399285,00-0028018,37155,6232
62,2495186,KAE371576,00-0027974,37111,6188
63,2495299,KIL245064,00-0028101,37238,6315
64,,,00-0029292,38695,7157
65,71265,,00-0027061,34540,5012
66,2507869,VAU411454,00-0027290,35802,5845
67,79571,HIL580262,00-0027084,34566,5038
68,,DOB286985,00-0028479,37959,6655
69,2495988,WHI720119,00-0024223,30822,2953
70,2534820,CEL270111,00-0028903,38847,7274
71,2495247,WIL317445,00-0028241,37741,6472
72,1363,HEN060724,00-0025945,33470,4656
73,,,00-0028980,38931,7752
74,2532896,,00-0029278,38647,7117
75,2495172,,00-0028053,37190,6267
76,2506931,WIL415195,00-0027608,35645,5729
77,2533036,JAM321847,00-0029260,38591,7063
78,218,DOR587585,00-0026145,33086,4319
79,71269,CRA111040,00-0026986,34461,4933
80,2532331,WIL062802,00-0028836,37662,6989
81,497016,IUP059326,00-0027869,35456,5542
82,2508088,BOW596979,00-0027894,35530,5615
83,4327,WOO302348,00-0026019,33549,4914
84,,WIL618736,00-0025398,32204,3627
85,494265,COX570416,00-0027737,35576,5660
86,,,00-0011754,23467,342
87,2495425,,00-0028595,38075,6749
88,2495565,BRO695589,00-0025534,32340,3763
89,2534866,JER467202,00-0029165,39147,7432
90,2532939,ROB710202,00-0029297,38710,7170
91,2527672,TUK652601,00-0027905,36262,7764
92,2506340,SMI029398,00-0023506,29898,2288
93,,DAV129997,00-0027863,35450,5536
94,2506404,,00-0023500,29892,2282
95,2495746,STA213196,00-0025415,32221,3644
96,,GOO677384,00-0021267,27287,1146
97,2504777,SMI446020,00-0020535,26222,776
98,2507191,MCD529425,00-0025484,32290,3713
99,2495826,DAV785142,00-0024221,30820,2951
100,,,00-0025488,32294,3717
101,2533039,JEF498860,00-0029137,38575,7048
102,,WAL664834,00-0028357,37859,6575
103,,,00-0029016,38963,7751
104,2506830,COS403812,00-0024129,31382,3278
105,,,00-0029526,38609,7081
106,2495893,MAR370922,00-0024334,30933,3064
107,,,00-0019456,25318,587
108,2535988,GOL049597,00-0029336,39239,7481
109,2505625,TIL389442,00-0022123,28071,1351
110,,,00-0028192,37329,6406
111,2495272,CON690403,00-0028031,37168,6245
112,2540158,ERT800920,00-0030061,39983,7816
113,496883,WOO826932,00-0027603,35548,5633
114,,,00-0028194,37532,6408
115,2645,STE278126,00-0026260,33201,4434
116,,,00-0028992,38943,7327
117,,,00-0029102,39069,7391
118,2506897,HES267217,00-0024272,30871,3002
119,733,BEN327033,00-0026210,33151,4384
120,,,00-0026537,34745,5207
121,2507029,WEE551877,00-0024535,32455,4097
122,,,00-0029276,38641,7111
123,,CAR104749,00-0027967,37102,6181
124,,MIL273414,00-0028078,37215,6292
125,,,00-0027851,36476,6071
126,2534861,FRE773651,00-0029299,38714,7173
127,2505324,IDO444955,00-0021604,28556,1632
128,,BRO477396,00-0029332,39235,7717
129,,SCO402822,00-0024355,30956,3086
130,2495824,CUT288111,00-0024226,30825,2956
131,,FRA465746,00-0028941,38892,7673
132,1037880,WEB210365,00-0027609,35657,5741
